Meters,Deviation (kWh),Deviation (%)
CRTY4612486 vs CRTY4612588,0.09375,1.1327879169288861
CRTY4612486 vs CRTY4613487,1.7812499999999991,23.966362999299218
CRTY4612486 vs CRTY4613685,2.114583333333333,29.103942652329746
CRTY4612486 vs CRYT4611587,0.7604166666666661,9.573770491803272
CRTY4612588 vs CRTY4613487,1.6874999999999991,22.849083215796888
CRTY4612588 vs CRTY4613685,2.020833333333333,27.994227994227987
CRTY4612588 vs CRYT4611587,0.6666666666666661,8.44327176781002
CRTY4613487 vs CRTY4613685,0.3333333333333339,5.2287581699346495
CRTY4613487 vs CRYT4611587,1.020833333333333,14.475627769571634
CRTY4613685 vs CRYT4611587,1.354166666666667,19.66717095310137
TOTAL,11.833333333333332,16.243500393080364
